city,county,lat,long,state,zip
HOLTSVILLE,SUFFOLK,"+40.922326","-072.637078",NY,00501
ADJUNTAS,ADJUNTAS,"+18.165273","-066.722583",PR,00601
AGUADA,AGUADA,"+18.393103","-067.180953",PR,00602
AGUADILLA,AGUADILLA,"+18.455913","-067.145780",PR,00603
MARICAO,MARICAO,"+18.172947","-066.944111",PR,00606
ANASCO,ANASCO,"+18.288685","-067.139696",PR,00610
ANGELES,UTUADO,"+18.279531","-066.802170",PR,00611
ARECIBO,ARECIBO,"+18.450674","-066.698262",PR,00612
BAJADERO,ARECIBO,"+18.444792","-066.640678",PR,00616
BARCELONETA,BARCELONETA,"+18.447092","-066.544255",PR,00617
BOQUERON,"CABO ROJO","+17.998531","-067.187318",PR,00622
"CABO ROJO","CABO ROJO","+18.062201","-067.149541",PR,00623
PENUELAS,PENUELAS,"+18.023535","-066.726156",PR,00624
CAMUY,CAMUY,"+18.477891","-066.854770",PR,00627
CASTANER,LARES,"+18.269187","-066.864993",PR,00631
ROSARIO,"SAN GERMAN","+18.113284","-067.039706",PR,00636
"SABANA GRANDE","SABANA GRANDE","+18.087322","-066.934911",PR,00637
CIALES,CIALES,"+18.336160","-066.472087",PR,00638
UTUADO,UTUADO,"+18.250027","-066.698957",PR,00641
DORADO,DORADO,"+18.436060","-066.281954",PR,00646
ENSENADA,GUANICA,"+17.969594","-066.939754",PR,00647
FLORIDA,FLORIDA,"+18.360125","-066.562311",PR,00650
GARROCHALES,ARECIBO,"+18.457254","-066.603358",PR,00652
GUANICA,GUANICA,"+17.972468","-066.898661",PR,00653
GUAYANILLA,GUAYANILLA,"+18.023280","-066.786909",PR,00656
HATILLO,HATILLO,"+18.481391","-066.808696",PR,00659
HORMIGUEROS,HORMIGUEROS,"+18.145486","-067.135323",PR,00660
ISABELA,ISABELA,"+18.480285","-067.028155",PR,00662
JAYUYA,JAYUYA,"+18.217606","-066.598306",PR,00664
LAJAS,LAJAS,"+18.015099","-067.055973",PR,00667
LARES,LARES,"+18.295952","-066.881925",PR,00669
"LAS MARIAS","LAS MARIAS","+18.252135","-066.990967",PR,00670
MANATI,MANATI,"+18.445530","-066.490268",PR,00674
MOCA,MOCA,"+18.383727","-067.080799",PR,00676
RINCON,RINCON,"+18.335781","-067.252547",PR,00677
QUEBRADILLAS,QUEBRADILLAS,"+18.453030","-066.933689",PR,00678
MAYAGUEZ,MAYAGUEZ,"+18.219023","-067.508068",PR,00680
"SAN GERMAN","SAN GERMAN","+18.113284","-067.039706",PR,00683
"SAN SEBASTIAN","SAN SEBASTIAN","+18.323600","-066.972227",PR,00685
MOROVIS,MOROVIS,"+18.316976","-066.415207",PR,00687
"SABANA HOYOS",ARECIBO,"+18.429675","-066.674506",PR,00688
